"","Observed","Chao1","se.chao1","Shannon","Simpson","InvSimpson","SampleType","Sample"
"CL3",3327,4359.95918367347,88.9988605881361,6.49662375287346,0.994467646198384,180.754889484448,"Soil","CL3"
"CC1",3696,4681.15445544554,82.4438400659221,6.71031943751002,0.995154929143933,206.395330369177,"Soil","CC1"
"SV1",2710,3463.21428571429,73.3088872762395,6.44890024079421,0.996223122091961,264.768950532246,"Soil","SV1"
"M31Fcsw",703,989.336633663366,49.5634503144378,3.80314247204146,0.926993084966955,13.6973326368792,"Feces","M31Fcsw"
"M11Fcsw",553,878.585714285714,61.7172229235736,3.26843888746785,0.910426411319585,11.164005090472,"Feces","M11Fcsw"
"M31Plmr",1239,1692.42723004695,57.3362634295339,4.25502065452465,0.937381781131519,15.9697931060661,"Skin","M31Plmr"
"M11Plmr",2125,2918.72641509434,79.4854439250366,4.79904277912416,0.951672139314453,20.6919980693262,"Skin","M11Plmr"
"F21Plmr",1688,2592.40585774059,96.3969502568518,4.84533222339633,0.977751221431024,44.9462875860704,"Skin","F21Plmr"
"M31Tong",515,970.88,79.8434983055583,2.65338407961266,0.861531664025672,7.22186767800399,"Tongue","M31Tong"
"M11Tong",1592,2970.48148148148,135.860486962852,3.89788022884443,0.936522696255171,15.7536621911334,"Tongue","M11Tong"
"LMEpi24M",737,1269.82978723404,84.3488332411484,3.06687506999543,0.801099728053692,5.02764521242055,"Freshwater","LMEpi24M"
"SLEpi20M",880,1597.408,98.3297045882681,3.62624924939647,0.906323679359851,10.6750563340487,"Freshwater","SLEpi20M"
"AQC1cm",2221,3493.0762195122,115.238867187505,3.50183052798898,0.762674649937181,4.21362488135088,"Freshwater (creek)","AQC1cm"
"AQC4cm",1978,2922.4332247557,92.3508503490803,3.33420156506515,0.738351999689601,3.82192869356416,"Freshwater (creek)","AQC4cm"
"AQC7cm",2179,3253.34579439252,101.100631840727,3.97453225237989,0.81698550317867,5.46404802553025,"Freshwater (creek)","AQC7cm"
"NP2",958,1876.25225225225,126.192034590884,4.2073271230563,0.952982960480716,21.2688848601335,"Ocean","NP2"
"NP3",1064,1645.06896551724,78.6614039191848,4.43328273250473,0.971514409406885,35.1054683851878,"Ocean","NP3"
"NP5",833,1451.1875,101.012855894007,4.54427419655166,0.974651233049353,39.4496506258851,"Ocean","NP5"
"TRRsed1",2679,3921.56213017751,111.978391808045,6.10780158739018,0.99228791445805,129.66661152298,"Sediment (estuary)","TRRsed1"
"TRRsed2",1923,2925.04494382022,101.207531515156,4.81137466341483,0.963584420997148,27.4607744098119,"Sediment (estuary)","TRRsed2"
"TRRsed3",2164,3245.85910652921,104.851534629147,5.38787555567535,0.981212090531058,53.2257195327166,"Sediment (estuary)","TRRsed3"
"TS28",809,1199.04918032787,60.0222859458745,4.09690216111808,0.96460910225634,28.2558528818087,"Feces","TS28"
"TS29",683,1107.73333333333,70.8613538184386,3.44274001254464,0.918342794552597,12.2463167153585,"Feces","TS29"
"Even1",913,2153.65517241379,160.879258898509,4.07118931611972,0.968438171742737,31.6838426420964,"Mock","Even1"
"Even2",693,1489.875,121.335778942986,3.95013735200154,0.964526840986673,28.1903283444335,"Mock","Even2"
"Even3",635,1207.76136363636,91.639285928636,3.98866585379212,0.967003159656588,30.3059320102343,"Mock","Even3"
